root_cause_id,first_divergence,confirmed,draft_or_filed,elapsed,source
B2,2026-09-12,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 14; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B3,2026-09-13,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 27; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B4,2026-09-10,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 6; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B5,2026-09-11 (Kaggle T4),"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 13; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B6,2026-09-09 (fwd); 2026-09-10 (zero gradient),"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 2; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B7,date not recorded; re-checked 2026-09-15,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 28; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B8,2026-09-12,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 18; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B9,2026-09-13,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 25; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B10,2026-09-12,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 16; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B11,2026-09-12,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 23; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B12,2026-09-09,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 3; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
B13,2026-09-10,"2026-09-15 (independent re-check in a fresh process, 2.14 + nightly)",draft 2026-09-13 (0913issues/); independent re-check 2026-09-15 (verify_0913_issues.py); filed 2026-09-15,not recorded (ledger has dates only),TO_SUBMIT 12; 0913issues/README.md; EXECUTION_REPORT 2026-09-13/15 breakpoints
