root_cause_id,subcase,primary,weakest,T1,T2,T3,observables,eager_exc,compiled_exc,compiled_exit,compiled_phase,first_finding
B2,shuffle,1,T1,1,1,1,value,,,0x0,exit,call1 output[0]: |ref-test| = 2.000e+00 exceeds dtype-aware tolerance 3.100e-03 (no fp64 reference)
B2,sample,0,T1,1,1,1,value,,,0x0,exit,call1 output[0]: |ref-test| = 9.000e+00 exceeds dtype-aware tolerance 5.010e-02 (no fp64 reference)
B3,jvp_ldexp,1,T1,1,1,1,crash,,,0xc0000005,start,"process died during the compiled call (exit 0xc0000005, timed_out=False); eager completed 1 call(s)"
B4,argmin_dynamic,1,T1,1,1,1,exception,,InductorError,0x0,exit," compiled raised InductorError (CppCompileError: C++ compile error

Command:
cl /I C:/Users/clm/AppData/Local/Python/pythoncore-3.14-64/Include /I C:/Us), eager returned"
B6,std_1e30,1,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
B6,std_1e-30_grad,0,T3,0,0,1,gradient;reference,,,0x0,exit, grad[0]: compiled err vs fp64 = 3.250e-01 exceeds 8.0x eager err 1.578e-08
B7,draft_block_verbatim,1,T1,1,1,1,exception,,RuntimeError,0x0,exit," compiled raised RuntimeError (InferenceMode::is_enabled() && primal.is_inference() && tangent.is_inference() INTERNAL ASSERT FAILED at ""C:\\actions-ru), eager returned"
B7,jvp_quantile_eager_backend,0,none,0,0,0,,,,0x0,exit,
B7,jvp_quantile_aot_eager,0,none,0,0,0,,,,0x0,exit,
B8,bool_x_fp16,1,T2,0,1,1,metadata,,,0x0,exit, output[0].dtype: torch.float16 vs torch.float32
B8,int64_x_bf16,0,T2,0,1,1,metadata,,,0x0,exit, output[0].dtype: torch.bfloat16 vs torch.float32
B8,fp16_x_fp32,0,T2,0,1,1,metadata,,,0x0,exit, output[0].dtype: torch.float32 vs torch.float16
B8,fp16_x_bf16,0,T1,1,1,1,value,,,0x0,exit, output[0]: |ref-test| = 7.660e-03 exceeds dtype-aware tolerance 4.076e-03 (no fp64 reference)
B8,bf16_x_fp64,0,T1,1,1,1,value,,,0x0,exit, output[0]: |ref-test| = 3.437e-03 exceeds dtype-aware tolerance 1.736e-03 (no fp64 reference)
B9,compiled_autograd_interpolate,1,T1,1,1,1,exception,,TorchRuntimeError,0x0,exit," compiled raised TorchRuntimeError (RuntimeError when making fake tensor call
  Explanation: Dynamo failed to run FX node with fake tensors: call_function t), eager returned"
B10,fstring_d,1,T1,1,1,1,exception,,InternalTorchDynamoError,0x0,exit," compiled raised InternalTorchDynamoError (ValueError: Unknown format code 'd' for object of type 'str'

from user code:
   File ""D:\wsl\personal\dr\paper\toxic_co), eager returned"
B11,sgd_foreach_complex,1,T1,1,1,1,exception,,InductorError,0x0,exit," compiled raised InductorError (AssertionError: <built-in function getitem> is not an OpOverload

Set TORCHDYNAMO_VERBOSE=1 for the internal stack trace), eager returned"
B12,interpolate_empty,1,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (Input and output sizes should be greater than 0, but got input (W: 0) and output (W: 3)), compiled returned"
B13,aoti_lifted_constant_mutation,1,T1,1,1,1,exception,,RuntimeError,0x0,exit," compiled raised RuntimeError (false INTERNAL ASSERT FAILED at ""C:\\actions-runner\\_work\\pytorch\\pytorch\\build\\aten\\src\\ATen\\RegisterFunctional), eager returned"
B14,vector_norm_inf_empty,1,T1,1,1,1,exception,,TorchRuntimeError,0x0,exit," compiled raised TorchRuntimeError (RuntimeError when making fake tensor call
  Explanation: Dynamo failed to run FX node with fake tensors: call_function <), eager returned"
B15,bce_weight_fp32,1,T2,0,1,1,metadata,,,0x0,exit, output[0].dtype: torch.bfloat16 vs torch.float32
B17,seed_inside,1,T1,1,1,1,value,,,0x0,exit,call0 output[0]: |ref-test| = 5.869e-02 exceeds dtype-aware tolerance 9.444e-04 (no fp64 reference)
B18,namedtuple_eq,1,T3,0,0,1,exception-type,RuntimeError,RecursionError,0x0,exit, exception type differs: eager RuntimeError/RuntimeError vs compiled RecursionError/RecursionError
B19,bmm_max_autotune,1,T1,1,1,1,exception,,InductorError,0x0,exit," compiled raised InductorError (LoweringException: AttributeError: function 'cpp_CppMicroGemmFP32Vec' not found
  target: aten.bmm.default
  args[0]: Te), eager returned"
B20,aoti_return_types_max,1,T1,1,1,1,exception,,NotImplementedError,0x0,exit," compiled raised NotImplementedError (No registered serialization name for <class 'torch.return_types.max'> found. Please update your _register_pytree_node ca), eager returned"
B21,lerp_bool,1,T1,1,1,1,exception,,BackendCompilerFailed,0x0,exit," compiled raised BackendCompilerFailed (backend='inductor' raised:
NotImplementedError: Subtraction, the `-` operator, with two bool tensors is not supported. U), eager returned"
B22,sum_half_dtype_bool,1,T1,1,1,1,exception,,InductorError,0x0,exit," compiled raised InductorError (CppCompileError: C++ compile error

Command:
cl /I C:/Users/clm/AppData/Local/Python/pythoncore-3.14-64/Include /I C:/Us), eager returned"
B22,prod_dtype_bool,0,T1,1,1,1,exception,,InductorError,0x0,exit," compiled raised InductorError (AssertionError: expected reduction_type in (""min"", ""max"", ""any"", ""sum"")

Set TORCHDYNAMO_VERBOSE=1 for the internal stac), eager returned"
B23,addmm_0d_bias,1,T1,1,1,1,exception,,InductorError,0x0,exit," compiled raised InductorError (LoweringException: IndexError: list index out of range
  target: aten.addmm.default
  args[0]: TensorBox(StorageBox(
   ), eager returned"
B24,var_mean_empty,1,T1,1,1,1,value,,,0x0,exit, output[1]: NaN/Inf present on one side only
B24,std_mean_empty,0,T1,1,1,1,value,,,0x0,exit, output[1]: NaN/Inf present on one side only
B25,channel_shuffle_chlast,1,T2,0,1,1,metadata,,,0x0,exit," output[0].stride: (384, 1, 48, 6) vs (384, 64, 8, 1)"
B26,keyerror_str,1,T1,1,1,1,value,,,0x0,exit, output[1]: non-float values differ exactly
B27,abs_complex_out_f64,1,T1,1,1,1,exception,,TorchRuntimeError,0x0,exit," compiled raised TorchRuntimeError (RuntimeError when making fake tensor call
  Explanation: Dynamo failed to run FX node with fake tensors: call_function <), eager returned"
C1,saved_view_mutated_before_backward,1,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (one of the variables needed for gradient computation has been modified by an inplace operation: [tor), compiled returned"
C3,rms_norm_eps,1,T1,1,1,1,value,,,0x0,exit,call2 output[0]: |ref-test| = 2.175e-01 exceeds dtype-aware tolerance 1.005e-03 (no fp64 reference)
C3,huber_delta,0,T1,1,1,1,value,,,0x0,exit,call2 output[0]: |ref-test| = 1.196e-01 exceeds dtype-aware tolerance 3.511e-04 (no fp64 reference)
C3,interpolate_scale,0,T1,1,1,1,value,,,0x0,exit,call2 output[0]: values differ (not numerically comparable)
C3,C26_cumsum_dim_from_float,0,T1,1,1,1,value,,,0x0,exit,call2 output[0]: |ref-test| = 1.794e+00 exceeds dtype-aware tolerance 1.285e-03 (no fp64 reference)
C3,C26_round_decimals_from_float,0,T1,1,1,1,value,,,0x0,exit,call2 output[0]: |ref-test| = 5.000e-02 exceeds dtype-aware tolerance 1.000e-03 (no fp64 reference)
C5,index_add_shape_mismatch,1,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (source tensor shape must match self tensor shape, excluding the specified dimension. Got self.shape ), compiled returned"
C5,index_copy_negative_index,0,T3,0,0,1,exception-routing,IndexError,,0x0,exit," eager raised IndexError (index_copy_(): index -1 is out of bounds for dimension 0 with size 4), compiled returned"
C5,bce_input_gt_1,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (all elements of input should be between 0 and 1), compiled returned"
C5,repeat_interleave_wrong_output_size,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (allocated size does not match required size), compiled returned"
C5,softmax_int64,0,T3,0,0,1,exception-routing,NotImplementedError,,0x0,exit," eager raised NotImplementedError (""softmax_lastdim_kernel_impl"" not implemented for 'Long'), compiled returned"
C5,layer_norm_f64_weight,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (mixed dtype (CPU): expect parameter to have scalar type of Float), compiled returned"
C5,one_hot_float,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (one_hot is only applicable to index tensor of type LongTensor.), compiled returned"
C5,int64_mul__float,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (result type Float can't be cast to the desired output type Long), compiled returned"
C5,float_add__1j,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (result type ComplexFloat can't be cast to the desired output type Float), compiled returned"
C5,take_out_overlapping,0,T3,0,0,1,exception-routing,RuntimeError,,0x0,exit," eager raised RuntimeError (unsupported operation: some elements of the input tensor and the written-to tensor refer to a single), compiled returned"
C8,logits_div_1.0,1,T3,0,0,1,alias,,,0x0,exit," storage-sharing relation changed: gained [(0, 2)] (indices < 2 are inputs, >= 2 outputs)"
C8,buf_mul_1.0,0,T3,0,0,1,alias,,,0x0,exit," storage-sharing relation changed: gained [(0, 2)] (indices < 2 are inputs, >= 2 outputs)"
C8,x_add_0,0,T3,0,0,1,alias,,,0x0,exit," storage-sharing relation changed: gained [(0, 2)] (indices < 2 are inputs, >= 2 outputs)"
C10,f32_floordiv,1,T1,1,1,1,value,,,0x0,exit, output[0]: |ref-test| = 1.000e+00 exceeds dtype-aware tolerance 2.910e-02 (no fp64 reference)
C10,f64_div_floor,0,T1,1,1,1,value,,,0x0,exit, output[0]: |ref-test| = 1.000e+00 exceeds dtype-aware tolerance 2.910e-02 (no fp64 reference)
C11,dict_+=,1,T3,0,0,1,state,,,0x0,exit,"call0 state[""n""]: 1 vs 0"
C11,dict_setitem,0,T3,0,0,1,state,,,0x0,exit,"call0 state.keys: [""\""n\"""", ""\""k\""""] vs [""\""n\""""]"
C11,list_append,0,T3,0,0,1,state,,,0x0,exit,call0 state.len: 1 vs 0
C11,list_+=,0,T3,0,0,1,state,,,0x0,exit,call0 state.len: 1 vs 0
C13,np_fix,1,T1,1,1,1,value,,,0x0,exit, output[0]: |eager-compiled| = 1.000e+00 exceeds dtype-aware tolerance 8.100e-03 at a finite position (eager 1 vs compiled 2; NaN-aware check)
C13,np_cbrt,0,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf pattern differs position-wise (first at flat index 1: eager -1.1447142362594604 vs compiled nan)
C13,np_sign,0,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
C13,np_heaviside,0,T1,1,1,1,value,,,0x0,exit, output[0]: NaN/Inf present on one side only
C13,np_clip_int8,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
C13,np_clip_uint8,0,T1,1,1,1,value,,,0x0,exit, output[0]: non-float values differ exactly
