id,round,draft,target,kind,ref,short,layer,symptom,axis,oracle,attribution,status
B1,1,0913/01,pytorch,issue,197084,linalg.pinv / matrix_sqrth wrong complex gradient (root cause later traced to dispatch-mode conj handling),AOT,S,P-dtype,GRAD,B,pending
B2,1,0913/02,pytorch,issue,197085,random.shuffle / sample return the same permutation on every call,Dy,S,Q-seq,VALUE,A,fixed
B3,1,0913/03,pytorch,issue,197086,jvp over ldexp terminates the interpreter under aot_eager,AOT,C,Q-context,CRASH,A,pending
B4,1,0913/04,pytorch,issue,197087,argmin/argmax under dynamic=True emit Python ** into C++,In,F,Q-context,TRACEERR,A,confirmed
B5,1,0913/05,pytorch,issue,197088,new_zeros(device=cpu) returns a CUDA tensor under cudagraphs,In,S,Q-context,META,A,confirmed
B6,1,0913/06,pytorch,issue,197089,std/var accumulate in float32: inf/NaN and zero gradient at extreme magnitudes,In,S,P-edge,VALUE,A,pending
B7,1,0913/07,pytorch,issue,197090,jvp of quantile / addr: internal assertion on every backend,Dy,F,Q-context,TRACEERR,A,pending
B8,1,0913/08,pytorch,issue,197091,ldexp output dtype wrong in both directions,In,S,P-dtype,DTYPE,A,fixed
B9,1,0913/09,pytorch,issue,197092,compiled autograd: interpolate backward hits an internal assertion,AOT,F,Q-context,TRACEERR,A,pending
B10,1,0913/10,pytorch,issue,197093,f-string format spec on a symbolic size: internal Dynamo error,Dy,F,Q-context,TRACEERR,A,confirmed
B11,1,0913/11,pytorch,issue,197094,compiled SGD.step with foreach=True and complex parameters: lowering assertion,In,F,P-dtype,TRACEERR,A,confirmed
B12,1,0913/12,pytorch,issue,197095,interpolate on an empty spatial dim returns uninitialised data instead of raising,De,S,P-edge,EXC,A,confirmed
B13,1,0913/13,pytorch,issue,197096,mutated captured tensor: export accepts and AOTInductor asserts,Ex,F,Q-artifact,TRACEERR,A,rejected
B14,1,0913/14,pytorch,issue,197097,vector_norm(ord=inf) on an empty batch fails for negative dim,De,F,P-edge,TRACEERR,A,fixed
B15,1,0913/15,pytorch,issue,197098,binary_cross_entropy / huber_loss return float32 for half-precision inputs,In,S,P-dtype,DTYPE,A,pending
