item_id,round,draft,kind,target,tracker_url,source_run,program_or_operator,torch_versions_reproduced,platforms,verification_text,contract_valid,duplicate_relation,root_cause_id,root_cause_label,layer,symptom,axis,oracle,attribution,status_bucket,status_findings_csv,status_date,status_evidence,fix_merged,new_since_snapshot
B1,1,0913/01,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197084,TO_SUBMIT rows 24; `plan/reports_decomp/pinv_complex_grad/minimal_verified.py`（含 gradcheck），`plan/scripts/complex_grad_sweep.py` + `plan/results/complex_grad/COMPLEX_GRAD.md`（全部复数自动求导 OpInfo 算子的扫描：只有 pinv/pinverse/matrix_sqrth），`plan/scripts/diag_matrix_sqrth_grad.py`，`plan/scripts/diag_complex_linalg_grad.py`（16 个 linalg 函数 × 实/复 × 三路），`plan/results/decomp_newvar_grad/DECOMP_DIFF.md`（6.3 复数变体 grad 扫描的原始命中）,linalg.pinv / matrix_sqrth wrong complex gradient (root cause later traced to dispatch-mode conj handling),2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows Py3.14 + Linux Py3.11）；nightly 2.15.0.dev20260911（Windows）/ dev20260912（Linux，`kaggle_out/pinvlinux.txt`：aot_eager 与 inductor 误差 1.4e-1，eager 5.8e-7）,"yes: aot_eager/inductor gradient differs from eager by 1.4e-1 (root cause RC01, not AOTAutograd)",same root cause as C32 (RC01): filed 09-15 attributed to AOTAutograd; C33 corrects the attribution to the dispatch-mode conj bug,RC01,complex conj view not materialised inside composite linalg kernels under any TorchDispatchMode (pinv/polar/matrix_sqrth/lstsq),AOT,S,P-dtype,GRAD,B,Pending,pending,2026-09-25,"no human response in snapshot; re-check: 0 human comment(s), labels ['triaged', 'module: complex', 'module: linear algebra', 'module: correctness (silent)', 'oncall: pt2', 'module: aotdispatch', 'module: pt2-dispatcher', 'bot-triaged', 'release triage'], human labels ['triaged (frgossen)']",no,
B2,1,0913/02,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197085,TO_SUBMIT rows 14; `plan/reports_dynsem/random_module/minimal_verified.py`（下方脚本），`plan/scripts/diag_random_compile.py`（逐函数对照），`plan/kaggle_out/randomlinux.txt`（Linux 2.14 + nightly 输出），`plan/results/dynsem/DYNSEM.md`（6.6 扫描原始命中）,random.shuffle / sample return the same permutation on every call,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows 11 与 Linux/Kaggle）；nightly 2.15.0.dev20260911+cpu（Windows）/ dev20260912+cpu（Linux）。backend=eager 与 inductor 相同，dynamic=False,yes: eager and compiled differ on the same program and inputs (silent divergence),independent root cause (RC02; distinct fix PR from B17 although both are Dynamo random.* handling),RC02,Dynamo random.shuffle/sample replay the same permutation,Dy,S,Q-seq,VALUE,A,已修复,fixed,2026-09-25,"human-triaged by williamwen42, who also added `module: correctness (silent)`; fix PR #197768 open (“Fixes”) | re-check: PR #197768 open (Fixes); PR #198062 open (Fixes)","no (open fix PR #197768, #198062)",
B3,1,0913/03,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197086,TO_SUBMIT rows 27; `plan/scripts/diag_jvp_ldexp_crash.py`（每例子进程运行，打印退出码），`plan/results/forward_ad/FORWARD_AD.md`（6.4d 全量：507 个支持前向 AD 的算子中只有 ldexp 让进程消失）,jvp over ldexp terminates the interpreter under aot_eager,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows 0xC0000005；Linux SIGSEGV exit -11）；nightly 2.15.0.dev20260911（Windows）/ dev20260912（Linux，`kaggle_out/jvplinux.txt`），同,yes: eager and compiled differ on the same program and inputs (process crash/hang under compile),independent root cause,RC04,AOTAutograd jvp over ldexp crashes the process,AOT,C,Q-context,CRASH,A,Pending,pending,2026-09-25,"no human response in snapshot; re-check: 0 human comment(s), labels ['module: crash', 'triaged', 'module: forward ad', 'oncall: pt2', 'module: aotdispatch', 'module: pt2-dispatcher', 'bot-triaged', 'release triage'], human labels ['triaged (frgossen)']",no,
B4,1,0913/04,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197087,TO_SUBMIT rows 1; `plan/reports_metamorphic/argmin_pow_dynamic/`（`minimal_verified.py`、`DEDUP.md`），`plan/scripts/diag_argmin_dynamic.py`（打印生成的 C++ 出错行）,argmin/argmax under dynamic=True emit Python ** into C++,2.14.0+cpu,Windows,torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`），Windows 11 / MSVC 19.44,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC05,Inductor CPP prints arg-reduction index with Python str() (** in C++),In,F,Q-context,TRACEERR,A,已确认,confirmed,2026-09-25,"chinmayirm located the cause (index expression printed with Python `str()`, `**` reaches the C++ kernel); no maintainer comment yet | re-check: 1 human comment(s), human labels [], assignees []",no,
B5,1,0913/05,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197088,TO_SUBMIT rows 13; `plan/kaggle_out/gpuverify/tcc-gpuverify.log`（G1 / G1b），`plan/kaggle_out/gpucuda/plan/gpu_results_meta_cfg/METAMORPHIC.md`（配置差分原始命中），`plan/scripts/verify_candidates_cuda.py`,new_zeros(device=cpu) returns a CUDA tensor under cudagraphs,2.14.0+cu130; 2.10.0+cu128,"Linux, CUDA T4",torch 2.14.0+cu130（Kaggle，Tesla T4，Linux）；torch 2.10.0+cu128 同,"yes, but only with triton.cudagraphs on (mode='reduce-overhead')",independent root cause,RC06,cudagraphs path ignores device='cpu' of new_zeros,In,S,Q-context,META,A,已确认,confirmed,2026-09-25,"assigned to contributor oonyshch (“Taking a look”, 2026-09-17) | re-check: 1 human comment(s), human labels ['triaged (frgossen)'], assignees ['oonyshch']",no,
B6,1,0913/06,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197089,TO_SUBMIT rows 5; `plan/reports_decomp/std_var_large_values/`（`minimal_verified.py`、`minimal_verified_tiny_grad.py`、`DEDUP.md`、`ISSUE_FINAL.md`），`plan/scripts/confirm_std_tiny_grad.py`、`verify_issue_claims.py`,std/var accumulate in float32: inf/NaN and zero gradient at extreme magnitudes,2.14.0+cpu,Windows (header names no platform; local run),torch 2.14.0+cpu（git `08187d9e0fba026dc8217405802ab5381dc88d90`）,"yes: eager CPU accumulates in double, Inductor in float32: inf/NaN and zero gradient at 1e30/1e-30 (not a tolerance-level difference)",independent root cause,RC07,Inductor CPU var/std accumulate in float32,In,S,P-edge,VALUE,A,Pending,pending,2026-09-25,"no human response in snapshot; re-check: 0 human comment(s), labels ['module: numerical-stability', 'module: cpu', 'triaged', 'module: NaNs and Infs', 'module: correctness (silent)', 'module: reductions', 'oncall: pt2', 'module: inductor', 'oncall: cpu inductor', 'bot-triaged', 'release triage'], human labels ['triaged (frgossen)']",no,
B7,1,0913/07,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197090,TO_SUBMIT rows 28; `plan/scripts/diag_jvp_make_dual.py`（9 个算子 × 3 后端），`plan/scripts/diag_jvp_addr.py`，`plan/results/forward_ad/FORWARD_AD.md`（6.4d 全量）,jvp of quantile / addr: internal assertion on every backend,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu 与 nightly 2.15.0.dev20260911（Windows，**逐用例独立进程**：addr / quantile(任意 q) / nanquantile 三个后端全部断言，`scripts/diag_jvp_make_dual_isolated.py`）；Linux Py3.11（2.14.0 与 dev20260912，`kaggle_out/jvp2linux.txt`）相同。2026-09-15 复核发现同一进程内连续跑多个用例时后面的用例可能通过（状态残留），早先 Windows 矩阵里的 ok 即由此而来，已改正,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC08,Dynamo _make_dual internal assert (jvp of quantile/addr),Dy,F,Q-context,TRACEERR,A,Pending,pending,2026-09-25,"no human response in snapshot; re-check: 0 human comment(s), labels ['triaged', 'module: forward ad', 'oncall: pt2', 'module: functorch', 'dynamo-functorch', 'bot-triaged', 'release triage'], human labels []",no,
B8,1,0913/08,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197091,TO_SUBMIT rows 18; `plan/scripts/diag_dtype_leads.py`（三路对照），`plan/tcc/dtype_matrix.py`（6.2 dtype 矩阵扫描，`results/dtypes_aot`、`kaggle_out/dtypesgpu`）,ldexp output dtype wrong in both directions,2.14.0+cpu; 2.14.0+cu130; 2.15.0.dev20260911,"Windows, Linux, CUDA T4","torch 2.14.0+cpu（Windows）；nightly 2.15.0.dev20260911（Windows）；2.14.0+cu130（Kaggle T4）与 Linux CPU（`kaggle_out/dtypesgpu/plan/gpu_dtypes_{cuda,cpu}/DTYPE_MATRIX.md`）",yes: eager and compiled differ on the same program and inputs (silent divergence),independent root cause,RC09,Inductor ldexp lowering dtype inference,In,S,P-dtype,DTYPE,A,已修复,fixed,2026-09-25,"fix PR #197162 open (“Fixes”), no maintainer comment yet | re-check: PR #197162 open (Fixes)",no (open fix PR #197162),
B9,1,0913/09,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197092,TO_SUBMIT rows 25; `plan/scripts/diag_compiled_autograd_interpolate.py`，`plan/scripts/compiled_autograd_diff.py` + `plan/results/compiled_autograd/COMPILED_AUTOGRAD.md`（全部 float32 自动求导 OpInfo 算子的 compiled_autograd 差分：只有 interpolate/upsample 家族失败）,compiled autograd: interpolate backward hits an internal assertion,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows Py3.14 + Linux Py3.11）；nightly 2.15.0.dev20260911（Windows）/ dev20260912（Linux，`kaggle_out/calinux.txt`）,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC10,compiled autograd isIntList assert for interpolate backward,AOT,F,Q-context,TRACEERR,A,Pending,pending,2026-09-25,"no human response in snapshot; re-check: 0 human comment(s), labels ['triaged', 'module: interpolation', 'oncall: pt2', 'module: compiled autograd', 'bot-triaged', 'release triage'], human labels ['triaged (frgossen)']",no,
B10,1,0913/10,new issue,pytorch,https://github.com/pytorch/pytorch/issues/197093,TO_SUBMIT rows 16; `plan/scripts/diag_dynamic_fstring_namedtuple.py`，`plan/results/dynsem_dynamic/DYNSEM.md`（6.6 扫描 `item_and_python_math` / `exception_message_with_value` 命中）,f-string format spec on a symbolic size: internal Dynamo error,2.14.0+cpu; 2.15.0.dev20260911,"Windows, Linux",torch 2.14.0+cpu（Windows）；nightly 2.15.0.dev20260911（Windows）；Linux（`tcc-leadslinux`，见 `kaggle_out/leadslinux.txt`）,yes: eager and compiled differ on the same program and inputs (compiled fails where eager works),independent root cause,RC11,LazySymNodeFormatString format spec,Dy,F,Q-context,TRACEERR,A,已确认,confirmed,2026-09-25,"tsho reproduced it on 2.14.0 and a source build and located the cause (`LazySymNodeFormatString.__repr__`); waits for the `actionable` label before sending a PR | re-check: 2 human comment(s), human labels [], assignees []",no,
